Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Koenigsegg,Jesko,2022,5,1600,1106,2.5,3000000.00
Lexus,LC 500,2022,5,471,398,4.4,92950.00
Lotus,Evora GT,2021,3.5,416,317,3.8,105000.00
Maserati,GranTurismo,2022,4.7,454,384,4.7,134300.00
Mazda,MX-5 Miata,2021,2,181,151,6.5,26830.00
McLaren,GT,2022,4,620,465,3.1,213195.00
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,221580.00
Pagani,Huayra,2022,6,764,738,2.8,2800000.00
Porsche,718 Cayman GT4,2022,4,414,309,4.2,100550.00
Rimac,Nevera,2022,Electric,1914,1696,1.95,2400000.00
Rolls-Royce,Wraith,2021,6.8,624,605,4.4,330000.00
Tesla,Roadster,2022,Electric,1000+,737,1.9,200000.00
Toyota,Supra,2022,3,382,368,3.9,43090.00
W Motors,Fenyr Supersport,2022,3.8,800,723,2.7,1700000.00
Porsche,718 Cayman,2022,2,300,280,4.7,60500.00
Lamborghini,Aventador,2021,6.5,770,531,2.9,522000.00
Ferrari,SF90 Stradale,2021,4,986,590,2.5,625000.00
Audi,TT RS,2022,2.5,394,354,3.4,67000.00
McLaren,GT,2021,4,612,465,3.1,212500.00
BMW,M4,2022,3,503,479,3.8,75000.00
Mercedes-Benz,SL 63 AMG,2021,4,603,664,3.5,155000.00
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,64000.00
Ford,GT,2022,3.5,660,550,2.8,500000.00
Nissan,370Z,2021,3.7,332,270,4.7,31015.00
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,304995.00
Bugatti,Chiron,2021,8,1500,1180,2.4,3000000.00
Lotus,Evora GT,2021,3.5,416,317,3.8,105000.00
McLaren,570S,2021,3.8,562,443,3.2,192500.00
Porsche,Panamera Turbo S E-Hybrid,2021,4,690,642,3.2,190000.00
Lamborghini,Urus,2021,4,641,627,3.6,222000.00
Ferrari,Roma,2021,3.9,611,561,3.3,222000.00
Audi,RS7,2021,4,591,590,3.5,115000.00
BMW,M2,2022,3,405,406,4.2,59000.00
Porsche,Cayman GT4,2022,4,414,309,4.2,102100.00
Lamborghini,Aventador,2021,6.5,730,509,2.9,417826.00
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,304995.00
Bentley,Continental GT,2021,6,626,664,3.6,220300.00
Audi,RS7,2022,4,591,590,3.5,114000.00
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.7,239100.00
McLaren,570S,2021,3.8,562,443,3.1,192500.00
BMW,M2,2022,3,405,406,4,58900.00
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,62500.00
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,65290.00
Ferrari,Portofino,2021,3.9,592,560,3.5,219750.00
Porsche,Panamera Turbo S,2022,4,620,604,2.9,187700.00
Lamborghini,Urus,2021,4,641,627,3.6,222004.00
Mercedes-Benz,AMG C63,2021,4,469,479,3.8,71350.00
Aston Martin,Vantage,2021,4,503,505,3.6,146000.00
Audi,S5,2022,3,349,369,4.4,52500.00
Porsche,Cayman,2022,2.5,365,309,4.5,68900.00
Lamborghini,Aventador,2021,6.5,730,507,2.8,517770.00
Ferrari,F8 Tributo,2022,3.9,710,568,2.9,276550.00
Audi,TT RS,2021,2.5,394,354,3.6,67600.00
McLaren,570S,2021,3.8,562,443,3.1,192500.00
BMW,Z4 M40i,2022,3,382,369,3.9,63700.00
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,221580.00
Chevrolet,Camaro SS,2022,6.2,455,455,4.1,44000.00
Ford,Mustang Mach 1,2021,5,480,420,4,51720.00
Nissan,370Z Nismo,2021,3.7,350,276,4.9,45790.00
Porsche,Panamera,2022,2.9,325,331,5.4,88550.00
Lamborghini,Urus,2021,4,641,627,3.5,218009.00
Ferrari,Roma,2021,3.9,612,561,3.3,222620.00
Audi,RS 3,2022,2.5,401,369,3.6,56200.00
McLaren,GT,2021,4,612,465,3.2,200000.00
BMW,M2 CS,2022,3,444,406,3.8,84595.00
Mercedes-Benz,AMG C63,2021,4,503,516,3.8,77500.00
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,62500.00
Acura,NSX,2021,3.5,573,476,2.7,157500.00
Aston Martin,DB11,2022,4,503,513,3.7,204100.00
Bentley,Continental GT,2021,6,626,664,3.4,220300.00
Bugatti,Chiron,2021,8,1500,1180,2.4,3000000.00
Dodge,Viper,2017,8.4,645,600,3.3,120000.00
Jaguar,F-Type,2022,3,380,339,4.9,69900.00
Koenigsegg,Jesko,2022,5,1600,1106,2.5,3000000.00
Lexus,LC 500,2022,5,471,398,4.4,92950.00
Lotus,Evora GT,2021,3.5,416,317,3.8,105950.00
Maserati,GranTurismo,2020,4.7,454,384,4.8,150000.00
McLaren,570S,2020,3.8,562,443,3.1,204550.00
Pagani,Huayra,2020,6,720,738,3,2700000.00
Porsche,Cayman GT4,2022,4,414,309,4.2,102900.00
Rimac,C_Two,2022,N/A,1914,1696,1.9,2400000.00
Rolls-Royce,Wraith,2021,6.6,624,605,4.3,330000.00
Shelby,Cobra,1965,7,435,440,4.2,1000000.00
Tesla,Model S Plaid,2021,N/A,1020,1050,1.98,131190.00
Toyota,GR Supra,2022,3,382,368,3.9,43090.00
TVR,Griffith,2022,5,500,479,3.8,123500.00
W Motors,Lykan Hypersport,2015,3.7,780,708,2.8,3400000.00
Porsche,718 Cayman,2021,2,300,280,4.5,61500.00
Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,518000.00
Ferrari,SF90 Stradale,2022,4,986,590,2.5,507000.00
Audi,RS 6,2021,4,591,590,3.5,109000.00
McLaren,GT,2021,4,612,465,3.1,210000.00
BMW,M2 CS,2022,3,444,406,3.8,84595.00
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,228000.00
Chevrolet,Camaro SS,2021,6.2,455,455,4,42000.00
Ford,GT,2022,3.5,660,550,2.8,500000.00
Nissan,370Z Nismo,2021,3.7,350,276,5,45000.00
Porsche,Taycan,2021,Electric,750,774,2.6,185000.00
Lamborghini,Urus,2021,4,641,627,3.6,222004.00
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,276550.00
Audi,RS 3,2022,2.5,401,354,3.5,56000.00
McLaren,570S,2021,3.8,562,443,3.1,191000.00
BMW,M5,2022,4.4,600,553,3.2,104000.00
Mercedes-Benz,AMG C 63,2021,4,469,479,3.9,69900.00
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,64000.00
Porsche,Taycan,2022,2,402,254,5.1,81250.00
Lamborghini,Aventador,2021,6.5,730,509,2.9,517700.00
Aston Martin,DBS Superleggera,2022,5.2,715,663,3.4,330000.00
Audi,RS 6 Avant,2021,4,591,590,3.5,109000.00
McLaren,600LT,2021,3.8,592,457,2.8,242500.00
Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,77000.00
BMW,M4,2022,3,473,406,4.1,72800.00
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,62000.00
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.5,76000.00
Ford,GT,2022,3.5,660,550,2.9,500000.00
Nissan,370Z,2021,3.7,332,270,4.9,30090.00
Porsche,Panamera,2022,2.9,325,332,5.3,87200.00
Lamborghini,Urus,2021,4,641,626,3.5,218000.00
Bugatti,Chiron,2021,8,1500,1180,2.3,3000000.00
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,274280.00
Audi,RS 7,2021,4,591,590,3.5,114000.00
McLaren,570S,2021,3.8,562,443,3.1,191000.00
Aston Martin,Vantage,2022,4,503,505,3.5,142086.00
Jaguar,F-Type,2022,5,575,516,3.5,103200.00
Porsche,Panamera Turbo S,2021,4,620,604,2.9,177700.00
Lamborghini,Aventador S,2021,6.5,729,509,2.9,417650.00
Ferrari,SF90 Stradale,2021,4,986,590,2.5,625000.00
Audi,RS7,2022,4,591,590,3.5,115045.00
McLaren,600LT,2021,3.8,592,457,2.9,256500.00
BMW,M2 Competition,2022,3,405,406,4,59895.00
Mercedes-Benz,S63 AMG,2021,4,603,664,3.4,152500.00
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,64695.00
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,69995.00
Ford,GT,2022,3.5,660,550,2.9,500000.00
Porsche,Taycan Turbo S,2021,N/A,750,774,2.6,185000.00
Lamborghini,Urus,2021,4,641,627,3.2,218009.00
Ferrari,812 Superfast,2021,6.5,789,530,2.9,363730.00
Audi,R8 Spyder,2022,5.2,562,406,3.5,183300.00
McLaren,GT,2021,4,612,465,3.1,210000.00
BMW,M4,2022,3,473,406,4.1,73795.00
Mercedes-Benz,AMG GT R,2021,4,577,516,3.5,183000.00
Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,60995.00
Aston Martin,DB11,2022,5.2,630,516,3.5,207000.00
Bentley,Continental GT,2022,6,626,664,3.5,203825.00
Jaguar,F-Type R,2021,5,575,516,3.5,103200.00
Acura,NSX,2022,3.5,573,476,2.7,157500.00
Lotus,Evora GT,2021,3.5,416,317,3.7,99800.00
Porsche,Cayman GT4,2021,4,414,309,4.2,100200.00
Alfa Romeo,4C,2020,1.7,237,258,4.1,67150.00
Audi,RS5,2022,2.9,444,443,3.7,77250.00
BMW,M2 Competition,2021,3,405,406,4,58900.00
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,64695.00
Dodge,Charger SRT Hellcat,2022,6.2,717,650,3.6,71490.00
Ford,GT,2022,3.5,660,550,2.8,500000.00
Lexus,LC 500,2022,5,471,398,4.4,92950.00
Maserati,GranTurismo,2020,4.7,454,384,4.8,150400.00
Nissan,370Z Nismo,2021,3.7,350,276,4.6,47820.00
Rolls-Royce,Wraith,2022,6.8,624,605,4.4,330000.00
Subaru,WRX STI,2021,2.5,310,290,4.6,38170.00
Tesla,Model S Plaid,2022,N/A,1020,1050,1.9,131190.00
Porsche,Cayman GT4,2021,4,414,309,4.2,102000.00
Lamborghini,Aventador,2021,6.5,729,507,2.9,393695.00
Ferrari,Portofino,2022,3.9,591,413,3.3,218750.00
Audi,RS7,2021,4,591,590,3.5,114000.00
McLaren,600LT,2021,3.8,592,457,2.8,256500.00
BMW,M2,2022,3,405,406,4,58900.00
Mercedes-Benz,AMG GT,2021,4,523,494,3.8,118500.00
Chevrolet,Camaro SS,2021,6.2,455,455,4.1,40590.00
Ford,Mustang Mach 1,2021,5,480,420,4,52720.00
Nissan,370Z Nismo,2021,3.7,350,276,4.6,45000.00
Porsche,Panamera Turbo,2022,4,620,604,3.1,174300.00
Lamborghini,Urus,2021,4,641,627,3.2,222004.00
Ferrari,SF90 Stradale,2022,4,986,590,2.5,625000.00
Audi,TT RS,2022,2.5,394,354,3.4,67895.00
McLaren,GT,2021,4,612,465,3.1,210000.00
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,62290.00
Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,304995.00
Jaguar,F-Type R,2021,5,575,516,3.5,103200.00
Lexus,LC 500,2022,5,471,398,4.4,93050.00
Porsche,Cayman GT4,2022,4,414,309,4.2,101200.00
BMW,M2 Competition,2022,3,405,406,4,59895.00
Audi,RS 5 Coupe,2021,2.9,444,443,3.7,75100.00
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,64195.00
Lotus,Evora GT,2022,3.5,416,317,3.8,105000.00
McLaren,GT,2021,4,612,465,3.1,211000.00
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468,3.5,275000.00
Bugatti,Chiron,2021,8,1500,1180,2.4,2998000.00
Koenigsegg,Jesko,2021,5,1280,1015,2.5,3000000.00
Ferrari,SF90 Stradale,2021,4,986,590,2.5,625000.00
Lamborghini,Aventador SVJ,2020,6.5,770,531,2.8,573966.00
Rimac,C_Two,2022,Electric,1914,1732,1.85,2400000.00
Pagani,Huayra Roadster BC,2021,6,791,774,2.5,3500000.00
Pininfarina,Battista,2022,Electric,1874,1696,1.9,2500000.00
Acura,NSX,2022,3.5,573,476,2.9,157500.00
Aston Martin,Vantage,2021,4,503,505,3.5,146000.00
Bentley,Continental GT,2022,4,542,568,3.9,219800.00
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,70000.00
Jaguar,F-Type,2022,2,296,295,5.4,61600.00
Kia,Stinger,2022,3.3,368,376,4.7,52200.00
Lotus,Evora GT,2021,3.5,416,317,3.8,100450.00
Maserati,GranTurismo,2021,4.7,454,384,4.8,134300.00
Porsche,718 Cayman GT4,2022,4,414,309,4.2,102550.00
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,76400.00
Audi,RS7,2021,4,591,590,3.5,114000.00
BMW,M5,2022,4.4,600,553,3.2,103500.00
Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,69000.00
Ford,GT,2022,3.5,660,550,3,500000.00
Lamborghini,Aventador,2021,6.5,770,531,2.8,417826.00
McLaren,Artura,2021,3,671,531,3,225000.00
Mercedes-Benz,SLS AMG,2021,4,577,516,3.6,247500.00
Nissan,370Z Nismo,2021,3.7,350,276,4.8,45790.00
Porsche,Taycan,2022,Electric,616,774,2.6,79900.00
Tesla,Model S,2022,Electric,1020,1050,1.98,119000.00
Aston Martin,DBS Superleggera,2022,5.2,715,664,3.2,307820.00
Bentley,Continental GT,2022,4,542,568,3.4,207825.00
Bugatti,Chiron,2021,8,1479,1180,2.3,2998000.00
McLaren,570S,2021,3.8,562,443,3.1,202500.00
Porsche,Taycan Turbo S,2021,Electric,750,774,2.6,185000.00
Lamborghini,Aventador S,2021,6.5,730,509,2.9,417826.00
Ferrari,F8 Tributo,2022,3.9,710,568,2.8,276550.00
Audi,RS 7,2022,4,591,590,3.5,114000.00
BMW,M2 CS,2022,3,444,406,4,84595.00
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.2,275000.00
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,63000.00
Ford,GT,2022,3.5,660,550,3,500000.00
Jaguar,F-Type,2021,5,575,516,3.5,103200.00
Lotus,Evora GT,2021,3.5,416,317,3.8,96950.00
Maserati,GranTurismo,2022,4.7,454,384,4.8,134300.00
McLaren,765LT,2021,4,755,590,2.8,358000.00
Nissan,370Z,2021,3.7,332,270,5,30000.00
Pagani,Huayra,2021,6,730,738,3,2600000.00
Porsche,Panamera Turbo S,2021,4,620,604,2.9,180000.00
Tesla,Model S Plaid,2021,Electric,1020,1050,1.9,131100.00
Aston Martin,DB11,2021,4,503,513,4,201495.00
Dodge,Challenger Hellcat Redeye,2022,6.2,797,707,3.4,82190.00
Lotus,Evora,2021,3.5,416,317,3.8,96950.00
Acura,NSX,2021,3.5,573,476,2.7,159495.00
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,76950.00
Bentley,Continental GT,2021,6,626,664,3.3,202500.00
Jaguar,F-Type,2022,3,380,339,4.9,70100.00
Koenigsegg,Jesko,2022,5,1280,1015,2.5,3000000.00
Lexus,LC 500,2021,5,471,398,4.4,92950.00
Maserati,GranTurismo,2022,4.7,454,384,4.8,132795.00
McLaren,GT,2022,4,612,465,3.1,215500.00
Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,80900.00
Porsche,718 Cayman,2021,2,300,280,4.9,59900.00
Rolls-Royce,Wraith,2021,6.8,624,605,4.3,330000.00
Tesla,Roadster,2022,-,1000+,-,1.9,200000.00
Chevrolet,Camaro SS,2021,6.2,455,455,4,40000.00
Ford,GT,2022,3.5,660,550,3,500000.00
Acura,NSX,2022,3.5,573,476,2.7,157500.00
Aston Martin,DB11,2021,5.2,630,516,3.7,209000.00
Bentley,Continental GT,2022,4,542,568,3.9,202500.00
Bugatti,Chiron,2021,8,1500,1180,2.4,3000000.00
Dodge,Challenger Hellcat,2022,6.2,717,656,3.5,67500.00
Jaguar,F-Type,2021,5,575,516,3.5,103200.00
Koenigsegg,Jesko,2022,5,1280,1106,2.5,2800000.00
Lexus,LC,2021,5,471,398,4.4,92950.00
Lotus,Evora GT,2021,3.5,416,317,3.8,104200.00
Maserati,GranTurismo,2021,4.7,454,384,4.7,133050.00
McLaren,570S,2021,3.8,562,443,3.1,196350.00
Mercedes-Benz,AMG C63,2022,4,503,516,3.8,69900.00
Pagani,Huayra BC,2021,6,791,774,2.7,2600000.00
Porsche,Cayman GT4,2022,4,414,309,4.2,102900.00
Rimac,Nevera,2022,Electric,1914,1696,1.85,2400000.00
Rolls-Royce,Wraith,2021,6.7,624,605,4.4,338000.00
Tesla,Roadster,2022,Electric,1000+,"10,000+",1.9,200000.00
Acura,NSX,2022,3.5,573,476,2.7,157500.00
Aston Martin,Vantage,2021,4,503,505,3.5,150000.00
Bentley,Continental GT,2021,6,626,664,3.6,218400.00
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797,707,3.5,73000.00
Jaguar,F-Type R,2022,5,575,516,3.5,103200.00
Lexus,LC 500,2021,5,471,398,4.4,92950.00
Lotus,Evora GT,2021,3.5,416,317,3.8,104970.00
Maserati,GranTurismo,2021,4.7,454,384,4.8,132400.00
Porsche,Cayman GT4,2021,4,414,309,4.2,101200.00
Tesla,Roadster,2023,Electric,"1,000+",737,< 1.9,200000.00
Alpine,A110,2021,1.8,288,236,4.4,71500.00
Audi,RS7,2021,4,591,590,3.5,114000.00
BMW,M4,2021,3,473,406,4.1,71800.00
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,64195.00
Dodge,Viper,2017,8.4,645,600,3.3,118795.00
Ferrari,Portofino,2021,3.9,591,560,3.5,218750.00
Jaguar,F-Type,2022,3,296,295,5.4,61600.00
Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,517700.00
McLaren,600LT,2021,3.8,592,457,2.8,240000.00
Aston Martin,DB11,2021,5.2,630,516,3.5,221400.00
Bentley,Continental GT,2021,6,626,664,3.6,202500.00
Bugatti,Chiron,2022,8,1500,1180,2.4,3000000.00
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,64100.00
Jaguar,F-Type R,2022,5,575,516,3.5,103200.00
Koenigsegg,Jesko,2022,5,1280,1015,2.5,2800000.00
Lexus,LC 500,2021,5,471,398,4.4,92950.00
Lotus,Evora GT,2021,3.5,416,317,3.8,100450.00
Maserati,GranTurismo,2021,4.7,454,384,4.8,150980.00
McLaren,Artura,2022,3,671,531,3,225000.00
Mercedes-AMG,C 63 S,2022,4,503,516,3.7,81550.00
Pagani,Huayra,2021,6,764,738,2.8,3500000.00
Porsche,Cayman GT4,2021,4,414,309,4.2,102550.00
Rimac,C_Two,2022,N/A,1888,1696,1.8,2400000.00
Rolls-Royce,Wraith,2021,6.6,624,642,4.4,330000.00
Tesla,Roadster,2022,N/A,10000+,0,1.9,200000.00
Toyota,Supra,2022,3,382,368,3.9,43090.00
Acura,NSX,2021,3.5,573,476,2.7,157500.00
Aston Martin,Vantage,2021,4,503,505,3.5,146000.00
Bentley,Continental GT,2022,4,542,568,3.9,207825.00
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,64195.00
Jaguar,F-Type,2022,3,380,339,4.8,62250.00
Lexus,LC 500,2022,5,471,398,4.4,92000.00
Lotus,Evora GT,2021,3.5,416,317,3.8,105000.00
Maserati,GranTurismo,2022,4.7,454,384,4.7,134300.00
McLaren,570S,2022,3.8,562,443,2.9,204550.00
Porsche,Cayman GT4,2021,4,414,309,4.2,102000.00
Tesla,Model S Plaid,2021,Electric (tri-motor),1020,1050,1.9,141190.00
Audi,RS 5,2021,2.9,444,443,3.5,75100.00
BMW,M2 Competition,2022,3,405,406,4,59895.00
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,64995.00
Dodge,Viper ACR,2017,8.4,645,600,3.3,126190.00
Ford,GT,2021,3.5,660,550,2.9,500000.00
Porsche,Taycan 4S,2022,2.5,482,472,3.8,102900.00
Lamborghini,Aventador S,2021,6.5,730,509,2.9,417650.00
Aston Martin,DB11,2021,5.2,630,516,3.5,205000.00
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,81250.00
Audi,RS7 Sportback,2022,4,591,590,3.5,115045.00
BMW,M4 Competition,2021,3,503,479,3.9,75695.00
Chevrolet,Camaro SS,2022,6.2,455,455,4.1,42000.00
Dodge,Charger Hellcat,2021,6.2,717,650,3.6,71490.00
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,274280.00
Ford,GT,2021,3.5,660,550,2.8,500000.00
Jaguar,F-Type R,2021,5,575,516,3.5,103200.00
Koenigsegg,Jesko Absolut,2022,5,1600,1106,2.1,2800000.00
Lexus,LC 500,2021,5,471,398,4.4,93050.00
Lotus,Evija,2022,Electric,1973,1254,2.5,2750000.00
McLaren,GT,2022,4,612,465,3.2,210000.00
Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.2,326050.00
Porsche,Cayman GT4,2021,4,414,309,4.2,102500.00
Lamborghini,Aventador,2021,6.5,770,531,2.8,417650.00
Ferrari,Portofino,2021,3.9,591,560,3.3,218750.00
Audi,TT RS,2022,2.5,394,354,3.6,69000.00
McLaren,600LT Spider,2021,3.8,592,457,2.8,256500.00
BMW,M4,2022,3,473,406,4.1,72800.00
Mercedes-Benz,AMG C 63,2022,4,503,516,3.8,70000.00
Chevrolet,Camaro SS 1LE,2021,6.2,455,455,4,44500.00
Ford,Mustang Mach 1,2021,5,480,420,4,51000.00
Nissan,370Z Nismo,2021,3.7,350,276,5.2,45000.00
Aston Martin,Vantage,2021,4,503,505,3.5,146000.00
Bugatti,Chiron,2022,8,1500,1180,2.4,3000000.00
Koenigsegg,Jesko,2021,5,1262,1106,2.5,3000000.00
Pagani,Huayra,2021,6,764,738,2.6,2600000.00
McLaren,Speedtail,2021,4,1035,848,2.5,2300000.00
Lamborghini,Sián,2021,6.5,819,531,2.8,3600000.00
Rimac,C_Two,2021,Electric,1914,1732,1.8,2400000.00
Porsche,Cayman,2022,2,300,280,4.9,59900.00
Lamborghini,Aventador,2021,6.5,770,531,2.8,393695.00
Ferrari,Portofino,2021,3.9,591,413,3.5,215000.00
Audi,RS 5,2022,2.9,444,443,3.7,75100.00
McLaren,GT,2021,4,620,465,3.1,210000.00
BMW,Z4 M40i,2022,3,382,369,4.3,63700.00
